timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2019-12-13 09:00:00+00:00,XBTM20,7387.5,7438.0,7225.0,7422.5,103,123269,7429.9725,61.0,1659173332,16.591733319999996,123269.0
2019-12-13 10:00:00+00:00,XBTM20,7422.5,7430.0,7398.0,7399.5,270,761187,7410.7011,3300.0,10271631913,102.71631913,761187.0
2019-12-13 11:00:00+00:00,XBTM20,7399.5,7399.0,7386.5,7393.0,113,425526,7391.5293,38.0,5757160095,57.57160094999999,425526.0
2019-12-13 12:00:00+00:00,XBTM20,7393.0,7407.0,7392.5,7398.5,94,223527,7396.9968,10.0,3022075402,30.220754019999998,223527.0
2019-12-13 13:00:00+00:00,XBTM20,7398.5,7396.5,7380.0,7396.5,163,84323,7387.1611,4939.0,1141536081,11.41536081,84323.0
2019-12-13 14:00:00+00:00,XBTM20,7396.5,7400.5,7395.0,7399.5,179,472064,7399.7336,1000.0,6379561497,63.79561497,472064.0
2019-12-13 15:00:00+00:00,XBTM20,7399.5,7403.5,7391.5,7397.5,237,663159,7396.4497,1750.0,8965909974,89.65909973999999,663159.0
2019-12-13 16:00:00+00:00,XBTM20,7397.5,7424.5,7397.0,7422.5,401,1340627,7404.6649,129.0,18106359530,181.06359529999997,1340627.0
2019-12-13 17:00:00+00:00,XBTM20,7422.5,7497.5,7421.5,7428.0,417,1111911,7438.2624,16644.0,14949175024,149.49175024000002,1111911.0
2019-12-13 18:00:00+00:00,XBTM20,7428.0,7460.0,7352.0,7420.0,238,612849,7417.8473,10.0,8261955731,82.61955730999999,612849.0
2019-12-13 19:00:00+00:00,XBTM20,7420.0,7425.5,7400.0,7400.5,87,74859,7420.049,1000.0,1008920308,10.089203080000004,74859.0
2019-12-13 20:00:00+00:00,XBTM20,7400.5,7419.0,7400.0,7418.0,36,25596,7407.9561,55.0,345541542,3.455415419999999,25596.0
2019-12-13 21:00:00+00:00,XBTM20,7418.0,7418.0,7417.5,7418.0,19,11624,7417.8473,100.0,156703767,1.56703767,11624.0
2019-12-13 22:00:00+00:00,XBTM20,7418.0,7418.0,7417.5,7417.5,18,14115,7417.8473,500.0,190298130,1.9029813000000002,14115.0
2019-12-13 23:00:00+00:00,XBTM20,7417.5,7418.0,7381.5,7391.5,73,39425,7413.448,1.0,531831274,5.318312739999999,39425.0
2019-12-14 00:00:00+00:00,XBTM20,7391.5,7406.5,7391.5,7406.5,37,30954,7399.7336,4062.0,418339944,4.1833994400000005,30954.0
2019-12-14 01:00:00+00:00,XBTM20,7406.5,7408.5,7399.5,7399.5,38,56111,7407.4074,75.0,757533867,7.575338670000001,56111.0
2019-12-14 02:00:00+00:00,XBTM20,7399.5,7442.0,7399.5,7423.5,107,209628,7427.2133,9000.0,2822434837,28.22434837,209628.0
2019-12-14 03:00:00+00:00,XBTM20,7423.5,7435.5,7409.5,7412.0,56,46736,7426.6617,75.0,629346102,6.2934610200000005,46736.0
2019-12-14 04:00:00+00:00,XBTM20,7412.0,7416.5,7408.0,7414.0,119,410419,7412.8984,8000.0,5536950994,55.36950994,410419.0
2019-12-14 05:00:00+00:00,XBTM20,7414.0,7453.0,7413.5,7431.5,237,1438654,7431.629,500.0,19359376921,193.5937692100001,1438654.0
2019-12-14 06:00:00+00:00,XBTM20,7431.5,7442.5,7419.5,7442.5,311,269920,7431.0768,12000.0,3632384605,36.32384604999999,269920.0
2019-12-14 07:00:00+00:00,XBTM20,7442.5,7436.0,7417.0,7417.0,70,72516,7426.6617,800.0,976483798,9.76483798,72516.0
2019-12-14 08:00:00+00:00,XBTM20,7417.0,7424.0,7417.0,7423.5,23,30200,7418.3976,100.0,407108161,4.07108161,30200.0
2019-12-14 09:00:00+00:00,XBTM20,7423.5,7422.0,7331.5,7359.5,319,389630,7383.3432,4764.0,5277320421,52.77320421000001,389630.0
2019-12-14 10:00:00+00:00,XBTM20,7359.5,7383.5,7332.0,7351.5,135,171221,7361.06,5000.0,2326082985,23.26082985,171221.0
2019-12-14 11:00:00+00:00,XBTM20,7351.5,7354.0,7344.5,7347.5,51,59167,7348.0785,1000.0,805205725,8.05205725,59167.0
2019-12-14 12:00:00+00:00,XBTM20,7347.5,7347.0,7295.0,7337.0,145,132547,7319.5725,5300.0,1810884313,18.10884313,132547.0
2019-12-14 13:00:00+00:00,XBTM20,7337.0,7395.0,7311.0,7317.5,301,1008067,7350.7792,18.0,13714578666,137.14578666,1008067.0
2019-12-14 14:00:00+00:00,XBTM20,7317.5,7316.0,7284.5,7284.5,313,294762,7298.7373,150.0,4038548431,40.38548431,294762.0
2019-12-14 15:00:00+00:00,XBTM20,7284.5,7291.5,7251.5,7288.0,184,216884,7277.4907,2.0,2980313299,29.80313299,216884.0
2019-12-14 16:00:00+00:00,XBTM20,7288.0,7288.0,7160.5,7191.0,549,573615,7235.89,269.0,7927506344,79.27506343999998,573615.0
2019-12-14 17:00:00+00:00,XBTM20,7191.0,7204.5,7097.5,7195.0,1186,1746811,7156.1471,1.0,24411531645,244.11531644999994,1746811.0
2019-12-14 18:00:00+00:00,XBTM20,7195.0,7207.0,7183.5,7197.0,225,559824,7197.3514,200.0,7778572724,77.78572723999999,559824.0
2019-12-14 19:00:00+00:00,XBTM20,7197.0,7215.5,7192.0,7214.0,118,176953,7200.4608,570.0,2457618437,24.576184370000004,176953.0
